BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,104,143,0,2926501000
202107,104,116,0,4105181000
202107,104,109,1,237630000
202107,104,149,4,512981000
202107,104,148,1,1631671000
202107,104,160,4,725053000
202107,104,152,4,626836000
202107,104,109,4,31936000
202107,104,129,1,2627928000
202107,104,155,3,76057000
202107,104,147,0,84322000
202107,104,160,3,2773810000
202107,104,140,0,6567000
202107,104,110,0,4190533000
202107,104,116,3,329412000
202107,104,101,0,295810000
202107,104,152,3,9120421000
202107,104,110,3,1749000
202107,104,142,0,4281774000
202107,104,141,0,32287782000
202107,104,132,0,7012156000
202107,104,152,0,248638208000
202107,104,155,0,121365392000
202107,104,160,0,182263443000
202107,104,150,0,116926437000
202107,104,134,0,84405485000
202107,104,113,4,77752000
202107,104,155,1,428795000
202107,104,155,4,504367000
202107,104,129,0,117001775000
202107,104,103,0,16071652000
202107,104,118,0,5306097000
202107,104,109,3,148138000
202107,104,144,0,6474390000
202107,104,129,4,295417000
202107,104,156,4,4945000
202107,104,134,4,162800000
202107,104,129,3,2741864000
202108,104,117,0,145570000
202108,104,118,1,1790000
202108,104,105,3,32300000
202108,104,132,3,787000
202108,104,144,1,2200000
202108,104,101,1,1580000
202108,104,138,3,3890000
202108,104,128,3,3260000
202108,104,112,3,15802000
202108,104,136,4,1160000
202108,104,143,1,16525000
202108,104,116,3,207003000
202108,104,146,0,64754000
202108,104,141,3,330675000
202108,104,123,0,14168000
202108,104,131,1,136972000
202108,104,153,3,257000
202108,104,137,0,221567000
202108,104,156,4,4555000
202108,104,121,0,14620000
202108,104,151,3,2680000
202108,104,112,1,15759000
202108,104,147,0,16616000
202108,104,151,1,14207000
202108,104,138,1,17903000
202108,104,110,1,18820000
202108,104,130,1,29310000
202108,104,120,4,50000
202108,104,156,1,11446000
202108,104,153,1,14730000
202108,104,105,0,20050000
202108,104,137,3,15600000
202108,104,114,3,63600000
202108,104,153,4,10550000
202108,104,143,4,2100000
202108,104,122,0,1349628000
202108,104,142,3,48488000
202108,104,103,1,7850000
202108,104,158,0,54837000
202108,104,145,4,2000000
202108,104,130,3,5251000
202108,104,132,0,9104247000
202108,104,118,0,13361842000
202108,104,144,4,550000
202108,104,131,0,12357590000
202108,104,148,4,204092000
202108,104,129,0,97187769000
202108,104,113,4,95842000
202108,104,134,0,79799989000
202108,104,148,3,28285238000
202108,104,142,0,5977281000
202108,104,131,4,16248000
202108,104,138,0,1496901000
202108,104,116,0,5644704000
202108,104,138,4,10250000
202108,104,149,4,610515000
202108,104,152,4,701188000
202108,104,152,0,247893960000
202108,104,155,4,556317000
202108,104,160,4,796865000
202108,104,112,4,19462000
202108,104,141,4,157084000
202108,104,126,4,26970000
202108,104,149,0,148252299000
202108,104,153,0,3864336000
202108,104,154,4,4800000
202108,104,110,0,980779000
202108,104,151,4,21200000
202108,104,136,0,2017159000
202108,104,130,0,4903998000
202108,104,150,3,4684635000
202108,104,160,3,3320168000
202108,104,111,0,238047000
202108,104,101,0,835986000
202108,104,132,4,13960000
202108,104,126,0,7662063000
202108,104,110,4,1380000
202108,104,126,3,12779337000
202108,104,130,4,7870000
202108,104,112,0,3236234000
202108,104,144,0,5012995000
202108,104,151,0,8280748000
202108,104,142,4,3305000
202108,104,103,0,4634400000
202108,104,134,3,17671103000
202108,104,116,4,50941000
202108,104,150,0,119017104000
202108,104,129,4,312607000
202108,104,134,4,174194000
202108,104,160,0,170404473000
202108,104,141,0,26710854000
202108,104,150,4,94735000
202108,104,113,0,24169925000
202108,104,118,4,10780000
202108,104,148,0,63933762000
202108,104,109,0,5153737000
202108,104,109,4,33576000
202108,104,155,0,100025624000
202108,104,156,0,5539826000
202108,104,148,1,1344079000
202108,104,134,1,1466527000
202108,104,129,1,2407361000
202108,104,116,1,75870000
202108,104,145,0,24795000
202108,104,160,1,7024378000
202108,104,152,1,6654616000
202108,104,131,3,17989000
