BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,129,134,18,1117648000
202107,129,109,23,400000
202107,129,131,12,300000
202107,129,104,28,1850000
202107,129,128,4,130000
202107,129,140,3,2245000
202107,129,112,23,100000
202107,129,126,18,1630000
202107,129,155,26,72244000
202107,129,144,3,1603000
202107,129,152,14,11874000
202107,129,149,14,2844000
202107,129,160,14,27224000
202107,129,109,14,7438000
202107,129,141,26,27727000
202107,129,103,3,291144000
202107,129,116,12,600000
202107,129,160,23,1400000
202107,129,136,3,3170000
202107,129,134,23,800000
202107,129,155,12,10166000
202107,129,112,28,9840000
202107,129,155,23,300000
202107,129,150,23,700000
202107,129,149,23,800000
202107,129,133,1,61117000
202107,129,134,12,170181000
202107,129,149,12,178214000
202107,129,148,23,6900000
202107,129,112,12,59520000
202107,129,126,12,13058000
202107,129,141,12,11640000
202107,129,109,12,214672000
202107,129,100,12,106422000
202107,129,150,12,88152000
202107,129,118,28,10734000
202107,129,130,12,866000
202107,129,122,1,38105000
202107,129,160,12,287487000
202107,129,159,1,16349000
202107,129,152,11,312455000
202107,129,150,11,264368000
202107,129,142,28,9040000
202107,129,106,3,51903000
202107,129,106,1,595203000
202107,129,107,3,8143000
202107,129,148,29,832948000
202107,129,160,18,2238293000
202107,129,149,18,1105865000
202107,129,152,18,3765904000
202107,129,142,18,249837000
202107,129,131,18,234208000
202107,129,150,18,364074000
202107,129,143,18,93938000
202107,129,155,28,66501000
202107,129,143,28,12560000
202107,129,153,3,21166000
202107,129,110,18,102751000
202107,129,112,18,109733000
202107,129,148,14,948000
202107,129,128,3,4935000
202107,129,148,11,177591000
202107,129,160,13,40190000
202107,129,152,13,19090000
202107,129,147,1,25435000
202107,129,111,3,50951000
202107,129,141,11,30490000
202107,129,100,15,680000
202107,129,109,16,1950000
202107,129,148,15,40000
202107,129,131,11,1273000
202107,129,116,11,983000
202107,129,155,16,300000
202107,129,155,15,400000
202107,129,149,16,1200000
202107,129,126,13,1520000
202107,129,112,13,10910000
202107,129,152,16,3950000
202107,129,149,13,28520000
202107,129,134,13,21440000
202107,129,150,13,13280000
202107,129,112,15,2300000
202107,129,100,13,10670000
202107,129,112,16,2250000
202107,129,152,15,900000
202107,129,109,15,1800000
202107,129,160,16,5550000
202107,129,150,14,2698000
202107,129,137,1,69800000
202107,129,112,11,121433000
202107,129,139,0,1924000
202107,129,125,3,80000
202107,129,155,11,32151000
202107,129,105,1,12720000
202107,129,135,4,730000
202107,129,112,14,7766000
202107,129,105,3,363807000
202107,129,155,14,474000
202107,129,108,4,1250000
202107,129,123,1,100000
202107,129,127,1,20850000
202107,129,117,4,100000
202107,129,130,3,3657405000
202107,129,156,1,1744285000
202107,129,146,1,69412000
202107,129,128,0,17934918000
202107,129,101,1,1594729000
202107,129,161,0,876253000
202107,129,148,3,72149098000
202107,129,116,1,17082061000
202107,129,144,1,1746545000
202107,129,106,0,14855019000
202107,129,135,0,912034000
202107,129,132,3,1865985000
202107,129,141,3,8687237000
202107,129,155,3,5426715000
202107,129,116,3,5722905000
202107,129,110,3,2032757000
202107,129,109,26,701530000
202107,129,104,1,5669738000
202107,129,104,3,2362338000
202107,129,148,26,520031000
202107,129,140,1,98336000
202107,129,105,0,101296669000
202107,129,154,1,59104000
202107,129,131,1,97530715000
202107,129,143,1,32283696000
202107,129,147,0,30238433000
202107,129,140,0,48123129000
202107,129,123,0,13339880000
202107,129,127,0,16839252000
202107,129,152,1,1148477645000
202107,129,136,0,436056089000
202107,129,104,0,121867880000
202107,129,133,0,117544576000
202107,129,146,0,9984392000
202107,129,138,0,298571444000
202107,129,156,0,326065786000
202107,129,110,0,608078211000
202107,129,151,0,5601570154000
202107,129,113,1,65023089000
202107,129,153,0,4763656736000
202107,129,141,1,11009398000
202107,129,118,0,2606728191000
202107,129,102,0,2388520699000
202107,129,107,0,180448558000
202107,129,130,0,1368037018000
202107,129,154,0,1017418956000
202107,129,116,0,5592770710000
202107,129,149,1,642416907000
202107,129,134,1,629349605000
202107,129,112,0,1031170374000
202107,129,109,0,984291089000
202107,129,103,0,5345288744000
202107,129,152,0,14758930365000
202107,129,142,0,2189605352000
202107,129,148,0,46843752104000
202107,129,132,0,1485251245000
202107,129,125,0,116054747000
202107,129,100,0,4149959646000
202107,129,160,0,12556295345000
202107,129,150,0,20835714401000
202107,129,126,0,6742250272000
202107,129,134,0,44228602862000
202107,129,149,0,57504276826000
202107,129,144,0,4957996139000
202107,129,122,0,303413604000
202107,129,150,1,264719103000
202107,129,117,0,31363691000
